center,left,right,steering,throttle,brake,velocity
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_10_672.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_10_672.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_10_672.jpg,0.6105442,0,0,16.37658
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_10_812.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_10_812.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_10_812.jpg,0.6172938,0,0,16.25399
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_10_888.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_10_888.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_10_888.jpg,0.6181176,0,0,16.11917
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_029.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_029.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_029.jpg,0.6197651,0.4215717,0,16.24918
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_108.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_108.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_108.jpg,0.6197651,0.6601199,0,16.70426
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_212.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_212.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_212.jpg,0.5942416,0.973899,0,17.62441
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_288.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_288.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_288.jpg,0.4723905,1,0,18.45041
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_355.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_355.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_355.jpg,0.4416188,1,0,19.13367
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_443.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_443.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_443.jpg,0.3982781,1,0,19.95846
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_516.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_516.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_516.jpg,0.3556282,1,0,20.76922
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_629.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_629.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_629.jpg,0.2431574,1,0,21.9758
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_700.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_700.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_700.jpg,0.1896923,1,0,22.5579
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_767.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_767.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_767.jpg,0.1573794,1,0,23.35386
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_865.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_865.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_865.jpg,0.0933514,1,0,24.13923
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_11_933.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_11_933.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_11_933.jpg,0.05614902,1,0,24.9109
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_045.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_045.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_045.jpg,0.02767592,1,0,26.05366
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_116.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_116.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_116.jpg,-0.05015678,1,0,26.61911
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_184.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_184.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_184.jpg,-0.07417889,1,0,27.35747
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_256.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_256.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_256.jpg,-0.1044191,1,0,27.90848
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_344.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_344.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_344.jpg,-0.1973188,1,0,28.60559
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_445.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_445.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_445.jpg,-0.631723,1,0,28.91223
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_529.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_529.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_529.jpg,-0.7430378,1,0,29.43515
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_595.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_595.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_595.jpg,-0.8055644,1,0,29.47433
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_681.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_681.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_681.jpg,-0.8072385,1,0,29.92214
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_760.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_760.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_760.jpg,-0.8080755,1,0,30.31178
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_857.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_857.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_857.jpg,0,1,0,30.11728
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_12_946.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_12_946.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_12_946.jpg,0,1,0,30.21593
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_012.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_012.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_012.jpg,0,1,0,30.34308
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_100.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_100.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_100.jpg,0,1,0,30.09778
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_173.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_173.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_173.jpg,0,1,0,30.18803
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_280.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_280.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_280.jpg,0,1,0,30.19421
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_349.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_349.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_349.jpg,0,1,0,30.19157
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_439.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_439.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_439.jpg,0.07591943,1,0,30.18856
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_547.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_547.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_547.jpg,0.0767432,1,0,30.18979
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_656.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_656.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_656.jpg,0.104273,1,0,30.18995
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_739.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_739.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_739.jpg,0.1177455,1,0,30.18938
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_829.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_829.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_829.jpg,0.1256378,1,0,30.1892
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_896.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_896.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_896.jpg,0.1609003,1,0,30.18881
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_13_980.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_13_980.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_13_980.jpg,0.1664541,1,0,30.188
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_049.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_049.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_049.jpg,0.1664541,1,0,30.18892
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_164.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_164.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_164.jpg,0.1334104,1,0,30.19032
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_232.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_232.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_232.jpg,0.0770355,1,0,30.19088
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_298.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_298.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_298.jpg,0.07242507,1,0,30.19072
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_372.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_372.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_372.jpg,0.07242507,1,0,30.19053
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_463.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_463.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_463.jpg,0.07242507,1,0,30.19037
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_576.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_576.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_576.jpg,-0.02666614,1,0,30.1895
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_648.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_648.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_648.jpg,-0.02666614,1,0,30.18992
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_715.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_715.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_715.jpg,-0.03393389,1,0,30.18994
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_813.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_813.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_813.jpg,-0.08490114,1,0,30.18894
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_881.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_881.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_881.jpg,-0.1007919,1,0,30.18896
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_14_996.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_14_996.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_14_996.jpg,-0.1365593,1,0,30.18801
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_15_071.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_15_071.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_15_071.jpg,-0.1365593,1,0,30.18896
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_15_139.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_15_139.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_15_139.jpg,-0.1365593,1,0,30.18933
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_15_229.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_15_229.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_15_229.jpg,-0.1349118,1,0,30.18967
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_15_307.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_15_307.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_15_307.jpg,0,1,0,30.18951
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_15_412.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_15_412.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_15_412.jpg,0,1,0,30.1902
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_15_491.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_15_491.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_15_491.jpg,0,1,0,30.1903
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_15_563.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_15_563.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_15_563.jpg,0,1,0,30.19032
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_15_645.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_15_645.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_15_645.jpg,0,1,0,30.19033
/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/center_2019_11_30_13_19_15_728.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/left_2019_11_30_13_19_15_728.jpg,/Users/grzegorz.tyminski/OneDrive - intive/Projects/Cognitive/Behavioral Clonning/backup/IMG/right_2019_11_30_13_19_15_728.jpg,0,1,0,30.19038
